192.168.0.1 0c:82:68:cc:c9:d6
192.168.0.2 10:60:4b:66:04:21
192.168.0.6 00:0c:29:d0:89:b1
192.168.0.7 00:1c:54:3e:9c:66
192.168.0.10 0c:c4:7a:1b:54:d4
192.168.0.13 00:24:54:99:d5:72
192.168.0.14 0c:c4:7a:1b:54:e6
192.168.0.15 00:0c:29:be:65:ce
192.168.0.18 00:0c:29:3b:09:dd
192.168.0.20 10:60:4b:62:5e:ab
192.168.0.21 b8:88:e3:3c:87:24
192.168.0.23 0c:c4:7a:1b:54:e8
192.168.0.24 a0:b3:cc:ed:6a:cc
192.168.0.25 28:92:4a:2f:2a:b8
192.168.0.26 28:92:4a:2f:2a:c6
192.168.0.27 ac:16:2d:72:83:90
192.168.0.28 00:0c:29:ef:e3:08
192.168.0.34 00:0c:29:55:3f:38
192.168.0.35 00:0c:29:c0:07:44
192.168.0.41 0c:c4:7a:14:3d:64
192.168.0.42 0c:c4:7a:14:3c:72
192.168.0.44 0c:c4:7a:14:39:a6
192.168.0.45 0c:c4:7a:14:39:a2
192.168.0.47 00:0c:29:e7:81:b5
192.168.0.48 00:0c:29:63:c9:4d
192.168.0.49 00:0c:29:b2:d9:c6
192.168.0.50 ac:16:2d:72:7b:70
192.168.0.71 ac:16:2d:7b:17:18
192.168.0.88 28:92:4a:2e:c8:8a
192.168.0.91 c8:60:00:ce:3b:68
192.168.0.92 c8:60:00:ce:3b:72
