192.168.0.1 0c:82:68:cc:c9:d6
192.168.0.3 00:24:54:99:d5:72
192.168.0.5 28:92:4a:2f:2a:b8
192.168.0.6 28:92:4a:2f:2a:c6
192.168.0.7 00:1c:54:3e:9c:66
192.168.0.8 a0:b3:cc:ed:6a:cc
192.168.0.9 28:92:4a:2d:65:79
192.168.0.10 0c:c4:7a:1b:54:d4
192.168.0.11 a0:b3:cc:ea:2e:fe
192.168.0.12 10:60:4b:66:04:21
192.168.0.13 0c:c4:7a:1b:54:e8
192.168.0.14 a0:b3:cc:ea:2d:4e
192.168.0.32 ac:16:2d:72:83:90
192.168.0.36 00:0c:29:6f:d9:45
192.168.0.38 00:0c:29:8c:d1:01
192.168.0.42 0c:c4:7a:14:3c:72
192.168.0.45 0c:c4:7a:14:39:a2
192.168.0.46 00:0c:29:62:08:c0
192.168.0.47 00:0c:29:37:d0:07
192.168.0.48 00:0c:29:28:af:7b
192.168.0.49 00:0c:29:8b:82:13
192.168.0.50 ac:16:2d:72:7b:70
192.168.0.71 ac:16:2d:7b:17:18
192.168.0.88 28:92:4a:2e:c8:8a
192.168.0.91 c8:60:00:ce:3b:68
192.168.0.92 c8:60:00:ce:3b:72
192.168.0.93 c8:60:00:ce:3c:8c
192.168.0.100 b8:88:e3:3c:87:24
192.168.0.101 ac:16:2d:7a:ee:1c
192.168.0.102 ac:16:2d:7b:16:d0
192.168.0.103 ac:16:2d:7b:0b:3c
192.168.0.116 00:0c:29:a7:24:07
192.168.0.117 00:0c:29:b8:d7:59
192.168.0.118 00:0c:29:90:be:9a
192.168.0.119 10:60:4b:61:db:da
192.168.0.135 00:0c:29:7f:20:cb
192.168.0.136 00:0c:29:e2:25:52
192.168.0.137 00:0c:29:68:7e:cc
192.168.0.143 a0:b3:cc:ea:2e:f2
192.168.0.191 a0:b3:cc:ea:2e:9e
192.168.0.222 ac:16:2d:72:83:e0
192.168.0.223 ac:16:2d:7b:08:f4
192.168.0.253 00:e0:4c:e1:c6:63
