192.168.0.1 0c:82:68:cc:c9:d6
192.168.0.5 28:92:4a:2f:2a:b8
192.168.0.6 28:92:4a:2f:2a:c6
192.168.0.7 00:1c:54:3e:9c:66
192.168.0.8 a0:b3:cc:ed:6a:cc
192.168.0.9 28:92:4a:2d:65:79
192.168.0.10 0c:c4:7a:1b:54:d4
192.168.0.11 a0:b3:cc:ea:2e:fe
192.168.0.12 10:60:4b:66:04:21
192.168.0.13 0c:c4:7a:1b:54:e8
192.168.0.14 a0:b3:cc:ea:2d:4e
192.168.0.32 ac:16:2d:72:83:90
192.168.0.36 00:0c:29:6f:d9:45
192.168.0.40 10:60:4b:62:5e:ab
192.168.0.41 0c:c4:7a:14:3d:64
192.168.0.42 0c:c4:7a:14:3c:72
192.168.0.44 0c:c4:7a:14:39:a6
192.168.0.45 0c:c4:7a:14:39:a2
192.168.0.47 00:0c:29:e7:81:b5
192.168.0.48 00:0c:29:63:c9:4d
192.168.0.49 00:0c:29:b2:d9:c6
192.168.0.50 ac:16:2d:72:7b:70
192.168.0.51 8c:89:a5:92:b9:4b
192.168.0.71 ac:16:2d:7b:17:18
192.168.0.88 28:92:4a:2e:c8:8a
192.168.0.91 c8:60:00:ce:3b:68
192.168.0.92 c8:60:00:ce:3b:72
